from_stop_id,to_stop_id,transfer_type,min_transfer_time
2154,3685679,2,219
4036220,2035,2,194
4146145,2429,2,265
4016269,2331,2,234
4037797,1755,2,264
3812920,2036,2,160
6613853,1755,2,230
4037209,2200,2,253
4037164,2116,2,302
4472672,2323,2,292
4024291,1933,2,290
3687090,1864,2,251
5709891,2035,2,204
4726947,2210,2,395
4022896,2216,2,196
3716894,2210,2,390
4028764,2154,2,247
4036191,2154,2,234
3343764,1980,2,180
4037264,2111,2,195
5709978,2155,2,160
2154,5922224,2,204
2154,5922225,2,201
3926376,2429,2,257
3764661,2155,2,199
6114723,1892,2,245
3687300,2111,2,205
4008208,2170,2,222
3813085,1955,2,373
4146146,2429,2,213
2154,3685680,2,201
2154,3685681,2,208
3747959,2035,2,201
2154,3685682,2,204
2035,3685790,2,208
2035,3685791,2,204
3813077,2111,2,287
4024259,2283,2,255
3748066,2371,2,201
6664351,2371,2,269
3764548,2155,2,314
4651135,2036,2,209
6114731,2288,2,226
4471844,2210,2,355
2338,2371,2,89
6195713,2283,2,279
4037229,1803,2,269
4996976,2210,2,198
2302,2371,2,253
4037773,2200,2,235
2035,3685788,2,219
4037788,2036,2,308
4473121,1755,2,230
4997022,1955,2,310
3687238,1864,2,212
3811243,2200,2,194
1956,2210,2,225
4016363,1773,2,270
5710040,1864,2,207
4037199,2036,2,308
3893471,2200,2,240
5727634,2170,2,211
3685861,2154,2,208
2035,3685789,2,201
1834,1832,2,90
3813310,1751,2,224
3749779,1773,2,226
3687239,2331,2,212
2030,2028,2,86
3764507,2331,2,216
3687469,2036,2,241
4471843,1955,2,310
4146145,1751,2,265
3764617,2155,2,213
2035,3685733,2,219
3765193,2210,2,355
6423488,2371,2,201
4036207,1955,2,189
4016744,2342,2,239
2035,3685734,2,201
3813103,2111,2,220
3926299,2210,2,189
2035,3685735,2,208
2035,3685736,2,204
5454896,2331,2,234
5775569,2283,2,270
6673110,2036,2,207
4024288,2342,2,211
3687123,2111,2,241
4472663,2258,2,275
4726943,2210,2,198
4036640,2210,2,198
4016268,2155,2,314
3813193,1755,2,222
4037796,2433,2,222
4770182,2155,2,199
6114724,2155,2,221
2221,2036,2,255
3813311,1751,2,215
2084,2028,2,196
4146114,1751,2,265
4036650,1864,2,234
6423503,2116,2,302
4016736,2283,2,291
4036822,2036,2,314
2067,5922223,2,259
4037768,2147,2,241
4037233,2433,2,186
3811242,1945,2,200
4036648,2036,2,213
6114729,2036,2,265
2067,5922222,2,265
3747834,2062,2,197
3764660,2288,2,212
4997020,2062,2,197
6664352,1832,2,269
1893,1892,2,175
3764660,2036,2,252
5727629,2036,2,308
3926298,1955,2,383
4016267,2155,2,160
4016328,1864,2,233
3926298,2210,2,383
3747936,1698,2,197
3811240,2083,2,229
4037196,1892,2,245
2028,4035037,2,191
2028,4035036,2,208
4770184,2036,2,209
3442416,2155,2,152
3749721,1803,2,239
3748084,1832,2,247
4037183,2210,2,198
3687696,2035,2,193
3764506,1773,2,201
6423506,2035,2,201
4036640,1955,2,198
4037230,1803,2,207
4016266,2036,2,221
4037171,2371,2,247
2148,2028,2,60
3813082,2210,2,259
4036194,2067,2,223
4037791,1688,2,269
4023367,2342,2,310
3926389,1892,2,205
3687238,2331,2,212
3749720,1803,2,216
3749982,2147,2,207
6423501,2116,2,223
4022941,1755,2,227
6114723,2155,2,221
1166832,2210,2,240
6423487,2371,2,201
6591457,2155,2,204
3687695,2035,2,204
4016265,2155,2,221
4023408,1933,2,290
4036650,2331,2,234
4024844,2283,2,286
3813010,1755,2,250
3813084,2210,2,310
4726747,2147,2,224
6251746,2155,2,235
5709982,2331,2,207
3811243,1945,2,194
4037218,2098,2,207
4726713,2383,2,226
4036192,2154,2,208
3672238,1751,2,225
3748086,2371,2,202
3687087,2155,2,282
4037207,2083,2,229
4037184,1955,2,189
4036870,2155,2,189
4037165,2067,2,259
4037264,2062,2,195
6423500,2067,2,225
3748057,2111,2,216
4770183,2288,2,226
5018338,1892,2,223
6114724,2288,2,245
2154,3685733,2,219
5018183,2147,2,203
3442415,2155,2,152
4028763,2035,2,234
3695558,1892,2,226
2154,3685735,2,208
3813077,2062,2,287
2154,3685734,2,201
2220,2036,2,240
2154,3685736,2,204
4770183,2036,2,256
2116,5922161,2,302
4037785,2155,2,243
4023032,2544,2,210
3926293,2443,2,197
3764771,1945,2,208
5710039,1864,2,234
4037230,2342,2,207
6114732,2288,2,226
3765257,2210,2,376
2029,2028,2,62
4022941,2433,2,227
4037223,1856,2,234
4022919,2283,2,276
4996977,1955,2,259
4037177,1698,2,215
5231612,1955,2,373
4023410,2258,2,275
6114729,2288,2,199
5709980,2155,2,314
4726942,1955,2,259
4022901,2048,2,207
4459258,2062,2,241
3687428,2155,2,246
3926339,2210,2,390
2302,1832,2,248
6673109,2036,2,207
6423505,2035,2,208
4726948,2111,2,195
6664357,2371,2,219
4037160,2154,2,207
2433,4473171,2,230
2433,4473170,2,222
2222,2155,2,400
4036764,2331,2,216
5709982,1864,2,207
4037218,2048,2,207
4996981,2111,2,209
